SubjNo,List,prime,prime_semantics,correct response,given response,match?,rt,perceptual rating,date,frameRate,experiment_name,session,participant
10,1,Eve ironed the trousers,Sensible,up,up,1,1.905005932,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I solved the exercise,Sklar_control_B,up,up,1,1.139699936,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Ben climbed the stairs,Sensible,up,up,1,1.277343035,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I turned up the volume,Sklar_control_B,down,down,1,1.209919214,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I turned off the door,Sklar_violation,down,down,1,0.95152092,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The hedge jumped Sara,Non-sensible,down,down,1,0.995230913,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The bowl dented Ian,Non-sensible,down,down,1,3.033981085,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I tasted the wine,Sklar_control_A,up,up,1,1.269653797,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I woke up the steam,Sklar_violation,up,up,1,2.194671869,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The pen described John,Non-sensible,down,down,1,1.175523043,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The potatoes mashed Will,Non-sensible,down,down,1,1.300827026,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The church described Erin,Non-sensible,down,down,1,3.739594936,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I imagined the border,Sklar_filler,up,up,1,4.115818977,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Liam mixed the nuts,Sensible,down,down,1,3.974823952,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Leo carried the wallet,Sensible,up,up,1,1.316622019,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I cooked the tomatoes,Sklar_control_B,down,down,1,1.939647198,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The ball squeezed Josh,Non-sensible,down,down,1,4.65703392,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I interviewed the woman,Sklar_control_B,down,down,1,1.492169857,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Joe solved the puzzle,Sensible,down,down,1,1.210018873,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The milk sniffed Phil,Non-sensible,down,down,1,3.209419966,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The garden watered Jeff,Non-sensible,down,down,1,4.07645607,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I cut the bread,Sklar_control_B,down,down,1,3.363152027,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Ewan wrote the story,Sensible,down,down,1,1.552033186,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Mike paid the bill,Sensible,down,down,1,1.246088028,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Kate built the house,Sensible,up,up,1,1.434357882,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Josh scrubbed the pot,Sensible,down,down,1,1.089459181,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I shaved the head,Sklar_control_B,down,up,0,1.253710032,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The jar labeled Liz,Non-sensible,down,down,1,0.987628937,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Jeff watered the garden,Sensible,up,up,1,1.277274847,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Ben chewed the toffee,Sensible,up,up,1,1.175709963,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Alex dusted the house,Sensible,up,up,1,4.233741999,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The bed sold Jay,Non-sensible,up,up,1,2.704670906,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Ryan knitted the socks,Sensible,down,down,1,1.128648043,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Liz scrubbed the bowl,Sensible,up,up,1,1.24633193,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The blanket stroked Ryan,Non-sensible,up,up,1,2.382638931,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Anna polished the trophy,Sensible,up,up,1,2.221627951,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Jay painted the portrait,Sensible,up,up,1,1.693202019,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The plants watered Luke,Non-sensible,down,down,1,3.763097048,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Beth washed the pan,Sensible,down,down,1,2.681190014,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Ian pushed the button,Sensible,down,down,1,2.681117058,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Will licked the spoon,Sensible,up,up,1,1.575685024,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Jon trimmed the bushes,Sensible,down,down,1,2.234272957,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The museum visited Mary,Non-sensible,down,down,1,2.570891857,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I tore the map,Sklar_control_B,up,up,1,4.499825954,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The sweets offered Tom,Non-sensible,down,down,1,2.633875132,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I photographed the river,Sklar_control_A,up,up,1,1.575358868,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Jen searched the room,Sensible,up,up,1,1.018512011,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Jack cleaned the bath,Sensible,down,down,1,1.233485937,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The radio got Ben,Non-sensible,down,down,1,3.410331964,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I broke the hat,Sklar_violation,up,up,1,3.22210288,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Amy measured the thread,Sensible,up,up,1,1.347990036,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I prepared the stew,Sklar_filler,up,up,1,1.821798086,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I heard the sound,Sklar_filler,up,up,1,1.159906864,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I closed the cabinet,Sklar_filler,down,down,1,0.963931084,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
