SubjNo,List,word,prime_semantics,info,len,ValMn,correct response,given response,match?,rt,date,frameRate,
21,1,murderer,negative,long negative,8,1.53,up,up,1,0.90532199177,2016_Aug_17_1009,85.0511867385,
21,1,nuclear,negative,long negative,7,3.25,up,up,1,1.49335881579,2016_Aug_17_1009,85.0511867385,
21,1,problem,negative,long negative,7,2.74,up,up,1,1.03465013113,2016_Aug_17_1009,85.0511867385,
21,1,bawl,negative,short negative,4,3.41,up,up,1,1.03465494199,2016_Aug_17_1009,85.0511867385,
21,1,cult,negative,short negative,4,2.48,down,down,1,1.84613857488,2016_Aug_17_1009,85.0511867385,
21,1,mad,negative,short negative,3,2.44,down,down,1,0.799429949257,2016_Aug_17_1009,85.0511867385,
21,1,rot,negative,short negative,3,2.68,up,up,1,1.1052063395,2016_Aug_17_1009,85.0511867385,
21,1,blister,negative,long negative,7,2.88,down,down,1,0.964319710853,2016_Aug_17_1009,85.0511867385,
21,1,mile,neutral,short neutral,4,5.24,down,down,1,0.752444220125,2016_Aug_17_1009,85.0511867385,
21,1,leg,neutral,short neutral,3,5.71,up,up,1,0.846488802927,2016_Aug_17_1009,85.0511867385,
21,1,empathy,neutral,long neutral,7,5.32,up,up,1,1.56394420983,2016_Aug_17_1009,85.0511867385,
21,1,ceiling,neutral,long neutral,7,5.45,up,up,1,0.916985677788,2016_Aug_17_1009,85.0511867385,
21,1,complex,neutral,long neutral,7,5.25,down,down,1,0.846475011902,2016_Aug_17_1009,85.0511867385,
21,1,sin,negative,short negative,3,2.8,up,up,1,0.848950342042,2016_Aug_17_1009,85.0511867385,
21,1,gun,negative,short negative,3,3.47,up,down,0,0.87000251445,2016_Aug_17_1009,85.0511867385,
21,1,aggravated,negative,long negative,10,2.66,up,up,1,0.928773483261,2016_Aug_17_1009,85.0511867385,
21,1,riot,negative,short negative,4,2.96,down,down,1,1.02289664291,2016_Aug_17_1009,85.0511867385,
21,1,erasure,neutral,long neutral,7,4.84,down,down,1,0.869993213564,2016_Aug_17_1009,85.0511867385,
21,1,invader,negative,long negative,7,3.05,down,down,1,0.753133771708,2016_Aug_17_1009,85.0511867385,
21,1,hostile,negative,long negative,7,2.73,down,down,1,0.881735797157,2016_Aug_17_1009,85.0511867385,
21,1,president,neutral,long neutral,9,5.2,down,down,1,0.787637653761,2016_Aug_17_1009,85.0511867385,
21,1,hairdryer,neutral,long neutral,9,4.84,up,up,1,1.34238196153,2016_Aug_17_1009,85.0511867385,
21,1,exam,negative,short negative,4,2.76,up,up,1,2.33041358984,2016_Aug_17_1009,85.0511867385,
21,1,mob,negative,short negative,3,3.27,down,down,1,0.705343031092,2016_Aug_17_1009,85.0511867385,
21,1,quit,negative,short negative,4,2.46,up,up,1,1.09347786766,2016_Aug_17_1009,85.0511867385,
21,1,surgeon,neutral,long neutral,7,5.36,down,down,1,0.75236371893,2016_Aug_17_1009,85.0511867385,
21,1,candlestick,neutral,long neutral,11,5.43,up,up,1,1.41101993341,2016_Aug_17_1009,85.0511867385,
21,1,starving,negative,long negative,8,2.39,up,up,1,1.22282909893,2016_Aug_17_1009,85.0511867385,
21,1,reserved,neutral,long neutral,8,4.88,up,up,1,0.928862002329,2016_Aug_17_1009,85.0511867385,
21,1,kerchief,neutral,long neutral,8,5.11,up,up,1,1.41104847763,2016_Aug_17_1009,85.0511867385,
21,1,unfaithful,negative,long negative,10,2.05,up,up,1,1.39927510486,2016_Aug_17_1009,85.0511867385,
21,1,hose,neutral,short neutral,4,5.25,down,down,1,0.787684158422,2016_Aug_17_1009,85.0511867385,
21,1,bastard,negative,long negative,7,3.36,down,down,1,2.140204133,2016_Aug_17_1009,85.0511867385,
21,1,smallpox,negative,long negative,8,2.52,down,down,1,1.32870157738,2016_Aug_17_1009,85.0511867385,
21,1,name,neutral,short neutral,4,5.55,down,down,1,0.799425779842,2016_Aug_17_1009,85.0511867385,
21,1,feat,neutral,short neutral,4,5.62,up,up,1,2.104902616,2016_Aug_17_1009,85.0511867385,
21,1,flu,negative,short negative,3,2.52,up,up,1,1.06991957594,2016_Aug_17_1009,85.0511867385,
21,1,punishment,negative,long negative,10,2.22,down,down,1,0.788352221716,2016_Aug_17_1009,85.0511867385,
21,1,rink,neutral,short neutral,4,5.7,up,up,1,1.21104899095,2016_Aug_17_1009,85.0511867385,
21,1,scalding,negative,long negative,8,2.82,down,down,1,0.787636370864,2016_Aug_17_1009,85.0511867385,
21,1,impotent,negative,long negative,8,2.81,down,down,1,0.764115282684,2016_Aug_17_1009,85.0511867385,
21,1,homeless,negative,long negative,8,2.06,up,up,1,0.917071631295,2016_Aug_17_1009,85.0511867385,
21,1,hive,negative,short negative,4,3.18,up,up,1,1.12874186004,2016_Aug_17_1009,85.0511867385,
21,1,carcass,negative,long negative,7,3.34,down,down,1,0.928799140966,2016_Aug_17_1009,85.0511867385,
21,1,law,neutral,short neutral,3,5.1,up,up,1,2.72827495344,2016_Aug_17_1009,85.0511867385,
21,1,aggravation,negative,long negative,11,2.1,up,up,1,1.62270619837,2016_Aug_17_1009,85.0511867385,
21,1,deformed,negative,long negative,8,2.41,up,up,1,0.799453682615,2016_Aug_17_1009,85.0511867385,
21,1,stricken,negative,long negative,8,3.29,up,up,1,0.964094564086,2016_Aug_17_1009,85.0511867385,
21,1,old,negative,short negative,3,3.31,down,down,1,0.740623059683,2016_Aug_17_1009,85.0511867385,
21,1,annoyance,negative,long negative,9,2.97,down,down,1,1.05819206615,2016_Aug_17_1009,85.0511867385,
21,1,corridor,neutral,long neutral,8,4.88,up,up,1,0.869999948656,2016_Aug_17_1009,85.0511867385,
21,1,huge,neutral,short neutral,4,5.39,down,down,1,0.775912068319,2016_Aug_17_1009,85.0511867385,
21,1,trumpet,neutral,long neutral,7,5.75,up,up,1,1.1405120258,2016_Aug_17_1009,85.0511867385,
21,1,sadness,negative,long negative,7,2.21,up,up,1,0.834682395682,2016_Aug_17_1009,85.0511867385,
21,1,conquest,neutral,long neutral,8,5.85,up,up,1,0.869992892724,2016_Aug_17_1009,85.0511867385,
21,1,furnace,neutral,long neutral,7,4.81,down,down,1,0.905305955675,2016_Aug_17_1009,85.0511867385,
21,1,society,neutral,long neutral,7,5.03,down,down,1,0.928738845396,2016_Aug_17_1009,85.0511867385,
21,1,bad,negative,short negative,3,2.56,up,up,1,1.11769588396,2016_Aug_17_1009,85.0511867385,
21,1,machine,neutral,long neutral,7,5.09,up,up,1,0.88177332154,2016_Aug_17_1009,85.0511867385,
21,1,stun,neutral,short neutral,4,4.93,up,up,1,1.3881758888,2016_Aug_17_1009,85.0511867385,
21,1,rob,negative,short negative,3,2.8,down,down,1,0.799430911429,2016_Aug_17_1009,85.0511867385,
21,1,repulsed,negative,long negative,8,2.48,down,down,1,1.22285315313,2016_Aug_17_1009,85.0511867385,
21,1,daze,neutral,short neutral,4,5.04,up,up,1,1.058195594,2016_Aug_17_1009,85.0511867385,
21,1,destroy,negative,long negative,7,2.64,down,down,1,0.822855783044,2016_Aug_17_1009,85.0511867385,
21,1,battleship,neutral,long neutral,10,4.93,down,down,1,1.51689754357,2016_Aug_17_1009,85.0511867385,
21,1,shoplifter,negative,long negative,10,2.93,up,up,1,0.775904371054,2016_Aug_17_1009,85.0511867385,
21,1,passage,neutral,long neutral,7,5.28,down,down,1,1.10523744952,2016_Aug_17_1009,85.0511867385,
21,1,curtains,neutral,long neutral,8,4.83,up,up,1,1.43453749374,2016_Aug_17_1009,85.0511867385,
21,1,end,negative,short negative,3,3.44,down,down,1,0.740585214458,2016_Aug_17_1009,85.0511867385,
21,1,task,neutral,short neutral,4,4.79,up,up,1,0.975858956925,2016_Aug_17_1009,85.0511867385,
21,1,depressed,negative,long negative,9,1.83,down,down,1,0.8817794153,2016_Aug_17_1009,85.0511867385,
21,1,infection,negative,long negative,9,1.66,up,up,1,1.03464788606,2016_Aug_17_1009,85.0511867385,
21,1,busybody,neutral,long neutral,8,5.17,down,down,1,0.693571261829,2016_Aug_17_1009,85.0511867385,
21,1,pus,negative,short negative,3,2.86,down,down,1,1.95203703176,2016_Aug_17_1009,85.0511867385,
21,1,loss,negative,short negative,4,1.89,up,up,1,1.04641548602,2016_Aug_17_1009,85.0511867385,
21,1,burdened,negative,long negative,8,2.5,up,up,1,1.41104366689,2016_Aug_17_1009,85.0511867385,
21,1,knitting,neutral,long neutral,8,4.94,up,up,1,0.82294975454,2016_Aug_17_1009,85.0511867385,
21,1,avalanche,negative,long negative,9,3.29,down,down,1,0.787674857536,2016_Aug_17_1009,85.0511867385,
21,1,tray,neutral,short neutral,4,5.1,down,down,1,5.97438427852,2016_Aug_17_1009,85.0511867385,
21,1,teacher,neutral,long neutral,7,5.68,down,down,1,1.2816465724,2016_Aug_17_1009,85.0511867385,
21,1,apprehension,negative,long negative,12,3.03,up,up,1,1.05818533094,2016_Aug_17_1009,85.0511867385,
21,1,barn,neutral,short neutral,4,5.48,up,up,1,2.2107741324,2016_Aug_17_1009,85.0511867385,
21,1,anguished,negative,long negative,9,2.12,down,down,1,0.952355829184,2016_Aug_17_1009,85.0511867385,
21,1,consoled,neutral,long neutral,8,5.78,down,down,1,2.32834974572,2016_Aug_17_1009,85.0511867385,
21,1,gang,negative,short negative,4,2.59,down,down,1,1.55211342766,2016_Aug_17_1009,85.0511867385,
21,1,job,neutral,short neutral,3,5.83,up,up,1,1.26988217968,2016_Aug_17_1009,85.0511867385,
21,1,lost,negative,short negative,4,2.82,down,down,1,0.928801706643,2016_Aug_17_1009,85.0511867385,
21,1,fury,negative,short negative,4,3.1,down,down,1,2.23427918437,2016_Aug_17_1009,85.0511867385,
21,1,reverent,neutral,long neutral,8,5.35,down,down,1,1.62271582009,2016_Aug_17_1009,85.0511867385,
21,1,shun,negative,short negative,4,2.97,up,up,1,1.06990770914,2016_Aug_17_1009,85.0511867385,
21,1,surgery,negative,long negative,7,2.86,down,down,1,1.15226423112,2016_Aug_17_1009,85.0511867385,
21,1,foul,negative,short negative,4,2.81,down,down,1,1.11698356108,2016_Aug_17_1009,85.0511867385,
21,1,wool,neutral,short neutral,4,5.27,up,up,1,1.68152270967,2016_Aug_17_1009,85.0511867385,
21,1,burn,negative,short negative,4,2.73,down,down,1,0.79942866636,2016_Aug_17_1009,85.0511867385,
21,1,raft,neutral,short neutral,4,5.72,down,down,1,1.06027964363,2016_Aug_17_1009,85.0511867385,
21,1,slob,negative,short negative,4,3.12,down,down,1,0.740644547972,2016_Aug_17_1009,85.0511867385,
21,1,glacier,neutral,long neutral,7,5.5,up,up,1,0.88179128198,2016_Aug_17_1009,85.0511867385,
21,1,defy,neutral,short neutral,4,5.4,down,down,1,1.06997987151,2016_Aug_17_1009,85.0511867385,
21,1,concentrate,neutral,long neutral,11,5.2,down,down,1,0.931257472839,2016_Aug_17_1009,85.0511867385,
21,1,nursery,neutral,long neutral,7,5.73,down,down,1,0.764173333417,2016_Aug_17_1009,85.0511867385,
21,1,pig,neutral,short neutral,3,5.07,up,up,1,1.17574394599,2016_Aug_17_1009,85.0511867385,
21,1,tourist,neutral,long neutral,7,5.66,up,up,1,1.10519318993,2016_Aug_17_1009,85.0511867385,
21,1,pervert,negative,long negative,7,2.79,up,up,1,1.08170994697,2016_Aug_17_1009,85.0511867385,
21,1,feud,negative,short negative,4,3.07,down,down,1,0.822969318484,2016_Aug_17_1009,85.0511867385,
21,1,flee,negative,short negative,4,3.29,down,down,1,1.13132174546,2016_Aug_17_1009,85.0511867385,
21,1,jug,neutral,short neutral,3,5.24,down,down,1,1.16402958601,2016_Aug_17_1009,85.0511867385,
21,1,headache,negative,long negative,8,2.02,up,up,1,0.858238442452,2016_Aug_17_1009,85.0511867385,
21,1,land,neutral,short neutral,4,5.66,up,up,1,1.09346728388,2016_Aug_17_1009,85.0511867385,
21,1,ridicule,negative,long negative,8,3.13,down,down,1,1.01113000512,2016_Aug_17_1009,85.0511867385,
21,1,decapitate,negative,long negative,10,2.45,up,up,1,0.799471001606,2016_Aug_17_1009,85.0511867385,
21,1,distress,negative,long negative,8,2.67,down,down,1,0.893560806289,2016_Aug_17_1009,85.0511867385,
21,1,irritate,negative,long negative,8,3.11,down,down,1,1.23459637817,2016_Aug_17_1009,85.0511867385,
21,1,germ,negative,short negative,4,3.35,down,down,1,0.989545755438,2016_Aug_17_1009,85.0511867385,
21,1,hurt,negative,short negative,4,1.9,down,down,1,0.952971294173,2016_Aug_17_1009,85.0511867385,
21,1,cabinet,neutral,long neutral,7,5.05,down,down,1,1.01115149353,2016_Aug_17_1009,85.0511867385,
21,1,location,neutral,long neutral,8,5.36,down,down,1,1.32869163516,2016_Aug_17_1009,85.0511867385,
