העמוד הכשיר מנהלים,haf4,47,119,707,633,1570,1263,775,969,874,2664,2440,1625,617,755,815,852,811,1565,669,720,1756,2237,1311
הטבעת העלימה מיסים,haf4,48,120,609,659,2540,916,716,1604,1973,1416,1936,1626,701,670,926,753,926,1334,1773,852,2470,818,2484
העציץ בישל פסטה,haf4,49,121,655,620,1585,2620,769,1201,2115,2015,1806,1449,676,707,786,814,790,1818,793,828,737,917,1443
הסלע אפה פשטידה,haf4,50,122,640,796,1208,2107,1074,911,1219,996,1093,1018,607,845,660,624,927,860,774,691,741,892,1344
התכשיט פחד מהחושך,haf4,51,123,656,715,2632,1719,849,1141,1023,3163,1123,2099,643,741,666,883,780,1084,1027,729,1922,2852,2148
הכובע קנה קמח,haf4,52,124,613,802,1157,1131,737,719,1048,906,3452,1189,697,867,753,785,972,1411,821,749,942,1680,922
הצעיף לימד חשבון,haf4,53,125,728,791,1925,1060,1078,1815,1718,2038,2098,1031,655,701,728,837,802,814,1059,628,1822,1202,1252
הפתק פתר תרגילים,haf4,54,126,617,557,1181,2050,638,734,1053,1118,1291,1463,666,718,748,673,1082,943,770,912,720,891,1827
הכפית שילמה למוכר,haf4,55,127,627,696,1413,934,851,875,2133,1030,1402,1074,725,612,835,770,661,1272,725,712,994,,1085
הסכין כתב מאמר,haf4,56,128,749,719,1377,2200,614,821,877,1283,1422,1773,754,1405,751,718,957,1034,940,682,731,927,1090
הסיר החליט ללמוד,haf4,57,129,644,717,1559,976,665,1036,2499,2356,3075,2647,702,766,950,804,906,805,764,746,676,640,1616
הספסל טרף זברה,haf4,58,130,545,725,2197,1929,1476,1195,851,1550,1151,1129,684,638,823,756,722,1069,789,787,1947,1094,1019
הרופא שתה מיץ,bik4,25,131,633,742,1421,2009,790,835,1761,985,2805,1265,622,679,1149,768,1018,1467,862,781,1757,3154,1372
יהונתן התעטש עליי,bik4,26,132,683,827,1332,1597,952,1075,1176,1278,3034,1224,675,716,836,842,987,679,811,649,1403,1792,918
דניאל התגלח בסכין,bik4,27,133,1033,687,1115,1104,680,1700,1152,1574,1365,3266,665,710,819,677,1535,999,693,584,956,1088,1325
החתול התגרד בגבו,bik4,28,134,837,754,1267,975,845,925,1031,1492,2372,1819,657,822,846,699,1684,762,825,2199,1344,961,1123
המורה הצטנן בכיתה,bik4,29,135,736,730,,1191,989,883,1193,1428,964,1301,742,845,1011,796,917,954,842,740,1182,865,1200
הדוגמן התלבש חם,bik4,30,136,816,649,1161,1384,1162,1000,835,993,1029,1412,629,692,868,740,1278,1915,734,700,1019,654,1807
אלכסנדר זכה בלוטו,bik4,31,137,649,624,1661,3285,884,1340,3026,992,2569,1113,597,683,745,708,767,726,708,634,924,1601,1217
הילדה צחקה מהבדיחה,bik4,32,138,664,656,1200,826,1630,971,874,1177,1448,3140,674,740,1646,762,915,1275,703,724,851,882,1490
המנהל התקשר לאחותו,bik4,33,139,778,666,1398,903,733,666,799,903,3301,1202,740,803,901,606,1212,804,922,795,1039,1571,1299
האדון התרגז עליה,bik4,34,140,662,620,1453,1343,749,1146,816,3284,5083,947,586,832,781,650,1154,2643,724,692,818,1675,1627
האישה הצטערה מאוד,bik4,35,141,711,781,1729,1101,975,852,1701,2153,4237,1329,835,763,979,719,1803,989,907,712,1249,1466,2502
דניאלה הסתפרה קצוץ,bik4,36,142,549,723,2192,1013,711,1925,876,2388,2223,1196,750,749,868,843,965,1325,732,675,845,651,1630
הרופאה התנצלה בפניי,bik4,37,143,576,576,1197,1053,670,1199,729,2525,1865,1070,660,877,883,741,781,1064,782,720,813,1098,1140
הבדווי הוליך גמלים,bik4,38,144,777,701,1384,2179,1116,1014,1262,1134,2011,871,627,722,862,931,1685,1244,1143,757,846,1251,1748
הבבון אכל בננות,bik4,39,145,625,744,2594,1107,893,1708,2541,4035,961,1494,662,981,860,706,849,867,732,720,2467,700,1053
דליה התעשרה ממסחר,bik4,40,146,629,632,1364,1171,1241,,886,3543,3276,1524,677,846,794,1346,1133,1176,1055,763,1156,773,1918
הבחור הסתפר במספרה,bik4,41,147,666,638,960,876,762,779,903,1105,3169,1003,736,621,776,718,1267,1014,895,735,1168,1776,1157
אליזבת העריצה רקדניות,bik4,42,148,645,747,1597,1252,982,973,902,1225,1073,1212,649,774,825,817,818,666,692,1661,924,1955,2304
הנערה הזמינה פיצה,bik4,43,149,654,662,1802,1182,806,632,1383,1807,1216,1230,685,788,781,693,1006,692,641,671,990,1183,1790
ליאור העדיף אמבטיה,bik4,44,150,645,782,1126,1191,866,2650,2689,3781,3096,1471,737,737,691,741,716,884,790,759,1997,2460,1730
גבריאל הזעיק משטרה,bik4,45,151,642,686,2359,1935,1335,892,1660,1285,2256,1361,668,756,769,686,993,1007,726,690,2303,1173,1349
המהנדס החליף מכונית,bik4,46,152,719,587,1719,1591,833,719,765,885,3116,1196,674,707,825,735,1413,995,792,682,1579,917,2064
היועץ הכשיר מנהלים,bik4,47,153,545,672,1342,977,908,1172,1147,1812,1018,1847,632,787,729,718,914,1252,679,984,1422,982,2347
החברה העלימה מיסים,bik4,48,154,954,736,1647,2014,1062,2690,2121,1227,2357,1845,687,742,708,736,1131,883,978,615,1757,854,1731
יונתן בישל פסטה,bik4,49,155,682,698,885,1382,1126,1075,2365,950,1242,2271,669,911,832,735,922,691,1102,697,879,769,1564
האיש אפה פשטידה,bik4,50,156,689,748,2082,1639,845,2680,1523,1893,2835,2710,643,719,1338,797,878,1218,1065,923,667,1422,1313
התינוק פחד מהחושך,bik4,51,157,659,658,1371,1766,751,,951,2949,4560,1553,685,770,799,1117,818,1008,929,826,1499,785,1153
האופה קנה קמח,bik4,52,158,724,771,1509,1459,796,634,954,2480,1242,1319,682,852,829,685,1392,1194,742,936,911,1363,1492
המורה לימד חשבון,bik4,53,159,605,764,1478,2374,1084,1883,1774,1786,2243,1095,629,677,754,754,843,783,792,630,2101,1124,1538
הילד פתר תרגילים,bik4,54,160,623,825,1573,857,678,1100,1474,,2278,857,614,763,791,749,,1344,728,683,1258,732,945
לימור שילמה למוכר,bik4,55,161,654,740,1771,3436,1442,1059,1643,2006,1141,1199,646,793,730,687,1340,846,798,862,971,783,1041
המדען כתב מאמר,bik4,56,162,804,703,2251,1043,1943,996,1857,1485,983,1096,720,817,970,693,974,859,835,879,1428,1410,2020
עמית החליט ללמוד,bik4,57,163,611,730,1685,1085,761,1867,1891,2421,1988,1198,666,749,777,814,1216,1147,716,757,705,817,1435
האריה טרף זברה,bik4,58,164,716,600,2499,2329,688,955,2176,2593,3997,1870,693,,1429,894,980,1075,796,721,848,1057,1900
נעלתי נעליים חומות,fil4,,165,727,670,1264,1305,744,818,876,2789,3758,2569,680,869,814,623,803,656,772,815,1264,1142,2448
הדוגמנית לבשה שמלה,fil4,,166,782,725,1871,773,824,772,1237,1646,1334,904,666,,1435,806,820,1021,700,827,,829,1804
הגננת שרה שיר,fil4,,167,669,652,1821,1409,926,1732,780,3231,1333,1083,655,973,1770,867,1830,1027,839,816,1983,911,1396
יאיר התחפש לחייל,fil4,,168,837,699,1724,1599,880,2030,2791,3885,1274,1017,1005,937,854,772,1100,1674,766,909,1045,1502,1664
שרית קיפלה בגדים,fil4,,169,604,667,2591,2046,740,977,1434,1358,2617,1253,672,797,703,932,2003,795,701,1395,977,1131,1710
החתול תפס עכבר,fil4,,170,697,705,1581,1577,742,1034,2276,3210,1092,856,719,694,784,732,1083,608,755,715,1149,1411,859
השארתי לך הודעה,fil4,,171,667,681,1897,1554,1029,1582,1734,2533,,1216,655,757,723,798,848,1106,941,876,837,2618,1219
לבשתי חולצה לבנה,fil4,,172,588,659,941,1993,786,815,1035,1054,1030,1116,621,741,837,605,1189,1326,877,655,715,1004,1229
עומר דיבר בכנס,fil4,,173,728,732,1552,952,905,1032,1955,2429,1097,1861,698,714,777,917,853,1051,1357,731,2093,1395,1199
רמי קנה טלפון,fil4,,174,663,953,1483,1115,726,867,,993,1144,1641,682,648,1018,757,1283,802,857,883,1083,1775,1150
התיירת לנה במלון,fil4,,175,645,698,917,1348,688,991,1370,1511,2575,2175,631,825,718,771,956,2165,749,604,732,747,1279
הדבורה עקצה אותי,fil4,,176,642,720,1380,1338,680,761,971,1009,5174,1436,658,747,861,843,910,1065,789,761,718,898,1587
אני אוהב שוקולד,fil4,,177,607,648,1594,1613,725,1239,683,3381,3058,1132,817,831,804,688,1323,1039,702,692,944,1333,3070
עמיחי עבד בבנק,fil4,,178,691,676,1430,1070,857,830,1998,1749,2804,2174,622,892,1118,780,954,1022,724,759,1678,910,1100
דרור ניווט בהרים,fil4,,179,702,688,1406,1626,1190,1026,2439,,2367,1058,725,957,776,749,1005,1064,779,1074,1086,884,1603
שי חתך אבטיח,fil4,,180,594,763,1284,1523,805,2319,1084,1901,3565,3014,693,670,835,748,843,1002,829,643,1798,1040,1318
הטלפון צלצל בבוקר,fil4,,181,749,699,1854,956,708,1445,1001,944,1519,868,768,1150,838,829,899,931,775,836,849,1791,2714
התינוק היה רעב,fil4,,182,673,778,2393,1477,738,1100,1602,2902,1311,1005,719,917,796,650,1131,1186,1204,842,2692,2614,1282
יגאל ניגן בפסנתר,fil4,,183,553,771,1099,1418,964,789,1100,2491,1721,1172,720,870,726,630,948,706,821,673,1452,1089,
גיל הרים משקולות,fil4,,184,645,705,1165,2386,884,986,3204,1073,983,2339,647,699,860,708,928,988,1736,870,2266,1531,1070
דנה חייכה אליי,fil4,,185,637,732,1742,1286,943,1641,1158,1468,1680,1012,698,738,752,755,913,1540,798,707,1244,1027,1277
יוסף החליף מכנסיים,fil4,,186,635,867,1281,1119,784,1114,814,1406,2456,2339,648,710,839,656,883,1107,709,725,1043,1860,1310
הרמקולים עבדו מצוין,fil4,,187,667,714,1042,1126,803,1431,1087,938,1269,1307,684,802,822,689,976,934,814,725,806,1316,2400
אמיתי האזין למוזיקה,fil4,,188,636,587,1279,2577,806,915,1261,2058,1376,1094,673,724,1251,624,1413,1172,876,790,816,769,989
יהודה ניגן בכינור,fil4,,189,786,624,1125,917,858,879,838,2641,1676,1433,686,780,767,917,848,1140,780,745,676,1022,1344
שירה הרכיבה פאזל,fil4,,190,706,847,1004,996,1003,796,1495,2261,3086,1974,773,744,860,,965,745,874,927,1023,1068,1136
ענבר שטפה כלים,fil4,,191,743,602,1567,991,898,1265,1876,1555,1173,775,637,789,944,738,805,1184,734,929,779,1148,2768
אלונה הדביקה מדבקה,fil4,,192,620,813,1524,1686,882,1725,2051,913,1158,957,732,861,893,734,1005,1400,733,704,988,929,1076
דני הפליג בספינה,fil4,,193,610,683,2231,2152,799,2386,942,2120,2168,3409,726,843,1817,725,1278,796,733,722,740,894,1293
הכלב תפס חתול,fil4,,194,621,636,1300,2645,858,1185,1959,988,1474,2657,618,742,952,772,1005,1272,782,642,797,1282,1308
נועם קנה טלוויזיה,fil4,,195,888,636,2023,1363,813,1100,940,1250,1009,1511,778,800,1618,661,1076,1253,765,727,1122,847,
עמיחי אכל סטייק,fil4,,196,666,811,1316,1203,864,1542,2691,7251,2992,1228,812,842,744,870,721,1454,787,678,1004,993,1198
אנה תירגמה ספר,fil4,,197,720,694,1167,1249,663,1330,929,1341,4367,1094,693,702,819,724,2352,995,822,710,654,1567,1587
עופר ישן מצוין,fil4,,198,698,634,1436,1121,1490,959,1239,1864,1028,1175,696,814,756,818,1422,965,929,624,1474,1679,2147
לימור גרבה גרביים,fil4,,199,644,738,1454,1082,716,1867,2068,2299,1292,1372,703,865,906,752,719,894,900,828,798,2179,1035
דני רצה ללמוד,fil4,,200,636,828,1778,1646,804,1170,3357,4194,3949,3668,665,661,709,658,1317,666,1237,695,885,1121,2341
גבי טיפל באנשים,fil4,,201,558,643,1150,1427,632,1790,1013,2917,1083,1340,740,1013,896,667,1627,888,772,887,861,896,1875
טלי הכינה עוף,fil4,,202,815,771,1278,2995,788,2696,1355,2358,1097,1342,746,696,895,,1636,1070,789,711,689,926,1491
מירי חבשה כובע,fil4,,203,647,784,1237,1347,945,802,828,1493,3181,1400,703,720,869,687,1062,1883,806,1028,3103,895,1445
ראיתי את החזיר,fil4,,204,594,808,1082,2909,846,1527,2881,6930,2510,2572,678,695,813,860,1123,1171,1251,1084,1957,2027,1701
דוד פתר תרגילים,fil4,,205,745,733,2427,1397,877,1436,1938,1049,1675,973,678,787,1070,836,766,1726,772,1483,1532,1200,1058
שרית תלתה כביסה,fil4,,206,542,707,1117,1239,725,967,1281,816,3635,3239,652,677,840,765,1213,892,695,600,800,893,2475
צח רץ בבקרים,fil4,,207,770,747,1577,1245,1156,2083,3044,2117,1084,1817,774,845,1444,652,964,1032,1078,934,1188,1163,3181
הפקידה הסתכלה בחלון,fil4,,208,689,643,1694,1014,752,1084,1183,1504,934,1133,736,916,909,780,1040,1050,718,796,913,1184,1211
בועז מנגן בלהקה,fil4,,209,592,683,1138,2574,805,812,,1375,1571,956,644,595,1430,735,1090,948,763,657,1617,1914,1211
אלון כתב ספרים,fil4,,210,581,655,1165,1216,704,942,1667,1521,1311,927,1142,896,1033,701,932,1161,1228,1163,869,718,2939
הציפור עפה גבוה,fil4,,211,621,763,1133,1035,886,780,1888,1300,2133,1116,692,880,882,688,959,749,889,1300,1093,971,1236
גבי גזר קופון,fil4,,212,908,910,1322,1875,913,755,1774,1414,2403,1053,660,682,1614,767,1757,816,773,1006,1818,2396,2110
סמדר ענדה עגילים,fil4,,213,636,794,2435,2061,942,1252,938,1926,2723,982,659,781,758,894,731,1046,838,657,1385,1108,1293
אשרי הקפיא אוכל,fil4,,214,638,741,1449,1126,1008,1242,2308,795,1094,1753,633,723,1401,709,1091,816,805,747,926,719,1477
העז ברחה מהדיר,fil4,,215,671,718,1586,1710,877,908,1397,2407,1462,964,661,658,933,749,1007,1131,737,881,1013,1564,1104
גילה ניתחה חולים,fil4,,216,694,831,,1366,883,1319,1515,1190,4037,1190,796,797,851,718,1205,748,776,808,1230,1315,2836
ראובן השקה פרחים,fil4,,217,632,779,2982,1541,738,1950,2295,1333,1262,1626,650,654,829,911,645,901,756,843,1185,1796,1163
שיר ניקתה אוזניים,fil4,,218,628,667,2544,1155,744,850,1148,1709,4717,1576,678,822,893,990,1445,930,778,692,964,949,1498
התייר בא לחופשה,fil4,,219,663,929,2011,1019,776,1710,844,1843,1911,2666,622,600,957,869,931,924,993,693,1758,,1187
יעל ניגנה בתופים,fil4,,220,723,650,2088,1472,934,2087,1643,2034,1783,1961,704,730,833,877,2166,1111,776,859,859,3514,1948
שמעתי את היונים,fil4,,221,811,754,1004,849,877,679,1533,1178,1269,847,674,742,739,861,1646,1177,822,781,749,1314,2959
הקוף עשה פרצופים,fil4,,222,610,829,1436,1359,826,760,1092,1141,3010,900,654,901,784,757,1022,980,755,766,1405,979,1165
נטע דפקה מסמר,fil4,,223,512,682,2005,2773,680,972,1160,1508,1796,1515,718,,747,688,955,803,684,716,1182,1087,1827
השועל הצליח להתחמק,fil4,,224,634,678,2978,1002,745,1672,802,1251,1623,962,751,840,928,863,757,1204,733,719,1086,1028,1933
הפקיד קרא עיתון,fil4,,225,570,673,1417,1654,665,819,1024,1133,3375,1239,631,777,845,719,932,1452,841,938,1217,893,1599
דרור לומד חינוך,fil4,,226,637,768,1469,1417,773,648,1078,2886,2191,1265,645,850,818,850,1887,968,719,,1027,1610,1910
דודי הבריח זהב,fil4,,227,582,750,1586,,794,1021,2772,3179,960,3236,703,717,781,818,1634,1047,860,595,1188,1283,3243
אליה לימדה לשון,fil4,,228,628,819,1670,1270,965,1306,1614,830,1659,1095,752,869,981,739,906,1653,1047,730,1115,1021,1037
הנשר עף לשמיים,fil4,,229,659,616,2129,2160,697,2556,1867,2472,2485,1246,657,621,1438,794,1651,1234,1008,748,882,1170,1285
הפרפר פרש כנפיים,fil4,,230,613,731,2864,941,820,854,1291,1471,1227,1134,638,710,845,714,989,685,886,627,943,2018,2399
יניב התקרר בשלג,fil4,,231,626,581,1284,2844,1046,1125,2397,1440,765,1068,663,756,856,762,,980,780,,1717,1234,1120
הפינגווין קפץ לבריכה,fil4,,232,564,636,1023,1502,684,1232,996,,1756,2746,622,640,821,698,885,1318,662,672,719,1182,1195
