Unnamed: 0,Condition,Contrast,List,MeanAffectivity,SubjNo,correct response,date,experiment_name,frameRate,given response,match?,participant,perceptual rating,prime,prime_semantics,rt,session,PairID,W1 score,W2 score
97,Sklar_Hebrew_neutral,80,1,0.2,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,בניין דירות,Hebrew,0.969640016556,1,,,
98,Sklar,50,1,0.813953488,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,high ceiling,Neutral phrase,1.39984607697,1,1020.0,0.568181818,0.31707317100000004
99,Sklar_Hebrew_negative,50,1,-3.1,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,מנוחת עולמים,Hebrew,1.45186591148,1,,,
100,Sklar_Hebrew_neutral,50,1,0.95,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,מהדק נייר,Hebrew,1.43998908997,1,,,
101,New,50,1,1.931818182,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,Sam hit the ball,Neutral sentence,0.8824789524079999,1,16.0,,
102,Sklar_Hebrew_neutral,80,1,1.65,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,ארגז חול,Hebrew,1.3647539615600002,1,,,
103,Sklar_Hebrew_negative,50,1,-4.7,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,תינוק בתנור,Hebrew,1.90582203865,1,,,
104,Sklar,50,1,0.5111111110000001,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,tile roof,Neutral phrase,1.03570413589,1,1002.0,0.418604651,0.790697674
105,Sklar_Hebrew_negative,80,1,-2.15,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,תשעה באב,Hebrew,0.894140005112,1,,,
106,Sklar,50,1,0.533333333,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,lined paper,Neutral phrase,1.5525460243200002,1,1005.0,0.275,0.5697674420000001
107,Sklar,50,1,-2.933333333,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,bad breath,Negative phrase,0.87825012207,1,1032.0,-2.9318181819999998,1.3170731709999999
108,Sklar_Hebrew_neutral,80,1,1.9,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,חולצה מגוהצת,Hebrew,1.1881549358399999,1,,,
109,New,50,1,-4.023255814,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,The attacker followed the journalist,Negative sentence,0.9648551940919999,1,21.0,,
110,Sklar_Hebrew_neutral,50,1,-0.1,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,מוט הילוכים,Hebrew,1.25869488716,1,,,
111,Sklar_Hebrew_negative,80,1,-3.45,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,ריח מהפה,Hebrew,1.3176698684700001,1,,,
112,Sklar_Hebrew_negative,50,1,2.25,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,פנס בעין,Hebrew,1.20009994507,1,,,
113,Sklar_Hebrew_negative,50,1,-3.85,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,נרדם בנהיגה,Hebrew,1.07060599327,1,,,
114,New,50,1,2.255813953,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,The cat licked Sally,Neutral sentence,1.03566288948,1,24.0,,
