Stimuli,mean,std,Condition,PairID
The pig was a male,0.071428571,0.777515027,Neutral sentence,18
The actor shot the photographer,-3.911111111,1.928520656,Negative sentence,19
The photographer shot the actor,-1.488372093,3.290477553,Neutral sentence,19
The bridge went over Claire,-1.113636364,1.754938667,Neutral sentence,20
Claire went over the bridge,-1,2.267786838,Negative sentence,20
The journalist followed the attacker,0.045454545,1.803801483,Neutral sentence,21
The attacker followed the journalist,-4.023255814,0.912567599,Negative sentence,21
The bunny outwitted the hunter,2.681818182,1.566698904,Neutral sentence,22
The hunter outwitted the bunny,-1.386363636,2.37443662,Negative sentence,22
The soldiers captured the terrorists,2.558139535,2.383498085,Neutral sentence,23
The terrorists captured the soldiers,-4.317073171,0.960182909,Negative sentence,23
The cat licked Sally,2.255813953,1.481521471,Neutral sentence,24
Sally licked the cat,-1.048780488,1.532175243,Negative sentence,24
The fish ate the people,-3.933333333,1.1946852,Negative sentence,25
The people ate the fish,1.404761905,1.638850338,Neutral sentence,25
The child scared the dog,-1.136363636,1.607987462,Neutral sentence,26
The dog scared the child,-2.80952381,1.31108027,Negative sentence,26
The child spun the washer,-0.068181818,1.24634773,Neutral sentence,27
The washer spun the child,-3.536585366,1.361939077,Negative sentence,27
The criminal tackled the policeman,-3.840909091,1.119451315,Negative sentence,28
The policeman tackled the criminal,2.022727273,2.040162287,Neutral sentence,28
The snake ate the man,-4.511627907,0.767559305,Negative sentence,29
The man ate the snake,-1.219512195,1.524995002,Neutral sentence,29
closet,0.5,1.11020635,Neutral phrase W2,1000
clothes closet,0.636363636,0.942310596,Neutral phrase,1000
clothes,1.418604651,1.650866412,Neutral phrase W1,1000
apartment,0.795454545,1.339551217,Neutral phrase W1,1001
apartment building,0.522727273,1.355241957,Neutral phrase,1001
building,1.113636364,1.528274739,Neutral phrase W2,1001
tile roof,0.511111111,0.944414735,Neutral phrase,1002
roof,0.790697674,1.372487133,Neutral phrase W2,1002
tile,0.418604651,0.851680639,Neutral phrase W1,1002
cog,-0.023255814,0.771157821,Neutral phrase W1,1003
cogwheel,0.214285714,0.976197558,Neutral phrase,1003
wheel,0.80952381,1.418313929,Neutral phrase W2,1003
door,0.511111111,1.160372633,Neutral phrase W2,1004
front,0.8,1.217299545,Neutral phrase W1,1004
front door,0.88372093,1.400838224,Neutral phrase,1004
paper.1,0.569767442,1.25126475,Neutral phrase W2,1005
lined paper,0.533333333,1.17936809,Neutral phrase,1005
lined,0.275,0.81610394,Neutral phrase W1,1005
shirt,0.711111111,1.424177948,Neutral phrase W2,1006
ironed,0.837209302,1.213617822,Neutral phrase W1,1006
ironed shirt,2.11627907,1.621423571,Neutral phrase,1006
hand,0.704545455,1.439953899,Neutral phrase W1,1007
hand rail,0.681818182,0.934425013,Neutral phrase,1007
rail,0.348837209,1.020824152,Neutral phrase W2,1007
car.1,1.078651685,1.553769018,Negative W2,1008
carpark,0.181818182,1.040409742,Neutral phrase,1008
park,1.953488372,1.602876705,Neutral phrase W2,1008
paper.2,0.569767442,1.25126475,Neutral phrase W2,1009
clip,0.222222222,0.974420315,Neutral phrase W2,1009
paper clip,0.431818182,1.128854683,Neutral phrase,1009
shift,0.333333333,0.929320377,Neutral phrase W2,1010
gear shift,0.325581395,0.865225823,Neutral phrase,1010
gear,0.428571429,1.062506405,Neutral phrase W1,1010
helicopter pad,0.674418605,1.169471395,Neutral phrase,1011
pad,0.279069767,0.590624423,Neutral phrase W2,1011
helicopter,0.714285714,1.502610968,Neutral phrase W1,1011
computer.1,1.727272727,1.824024052,Neutral phrase W1,1012
screen,0.311111111,0.874440658,Neutral phrase W2,1012
computer screen,0.886363636,1.367664944,Neutral phrase,1012
pedestrian,0.466666667,1.358475081,Neutral phrase W1,1013
pedestrian crossing,0.613636364,1.185491932,Neutral phrase,1013
crossing,0.268292683,0.866729203,Neutral phrase W2,1013
