,Unnamed: 0,Unnamed: 0.1,Condition,Contrast,List,MeanAffectivity,SubjNo,Unnamed: 16,Unnamed: 17,correct response,date,experiment_name,frameRate,given response,match?,participant,perceptual rating,prime,prime_semantics,rt,session,PairID,string_length
61,61,61,Sklar_Hebrew_negative,50,1,-2.25,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,סוף העולם,Hebrew,1.77249598503,1,,9
62,62,62,New,50,1,1.2727272729999999,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,The elephant caught the poacher,Neutral sentence,6.257194995880001,1,8.0,31
63,63,63,Sklar_Hebrew_neutral,50,1,1.05,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,דלת כניסה,Hebrew,1.8000531196599998,1,,9
64,64,64,Sklar,50,1,0.674418605,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,helicopter pad,Neutral phrase,2.72917294502,1,1011.0,14
65,65,65,Sklar,50,1,0.613636364,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,pedestrian crossing,Neutral phrase,0.952912092209,1,1013.0,19
66,66,66,Sklar_Hebrew_neutral,50,1,0.85,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,דף שורות,Hebrew,1.17651104927,1,,8
67,67,67,Sklar,50,1,0.636363636,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,clothes closet,Neutral phrase,1.59977793694,1,1000.0,14
68,68,68,New,50,1,-3.933333333,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,The fish ate the people,Negative sentence,1.0823099613200002,1,25.0,23
69,69,69,Sklar_Hebrew_neutral,80,1,0.95,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,מהדק נייר,Hebrew,0.88249206543,1,,9
70,70,70,Sklar_Hebrew_neutral,80,1,1.05,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,דלת כניסה,Hebrew,0.80489397049,1,,9
71,71,71,Sklar_Hebrew_neutral,50,1,2.05,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,ארון בגדים,Hebrew,0.7610938549040001,1,,10
72,72,72,New,50,1,0.772727273,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,desk lamp,Neutral phrase,0.843515872955,1,1022.0,9
73,73,73,New,50,1,-2.325581395,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,runny nose,Negative phrase,0.8235499858859999,1,1035.0,10
74,74,74,New,50,1,-2.80952381,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,The dog scared the child,Negative sentence,2.33703112602,1,26.0,24
75,75,75,Sklar_Hebrew_neutral,50,1,-0.3,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,שמשה קדמית,Hebrew,4.18746495247,1,,10
76,76,76,New,50,1,2.6818181819999998,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,The bunny outwitted the hunter,Neutral sentence,3.24630498886,1,22.0,30
77,77,77,Sklar_Hebrew_negative,80,1,-3.85,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,נרדם בנהיגה,Hebrew,1.10583305359,1,,11
78,78,78,New,50,1,-4.048780488,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,The poacher caught the elephant,Negative sentence,2.37614202499,1,8.0,31
79,79,79,New,50,1,-4.3636363639999995,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,Dad slapped the toddler,Negative sentence,1.8939690589900002,1,5.0,23
80,80,80,Sklar,50,1,0.522727273,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,apartment building,Neutral phrase,1.93386411667,1,1001.0,18
81,81,81,Sklar_Hebrew_negative,50,1,-3.45,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,ריח מהפה,Hebrew,1.52952384949,1,,8
82,82,82,Sklar_Hebrew_neutral,50,1,1.9,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,חולצה מגוהצת,Hebrew,0.964783906937,1,,12
83,83,83,Sklar,50,1,-3.5111111110000004,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,root canal,Negative phrase,0.729788064957,1,1024.0,10
84,84,84,Sklar_Hebrew_neutral,80,1,0.1,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,פסי האטה,Hebrew,1.5292069912000001,1,,8
